Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
GEN57,DESICATED COCONUT PER PKT ,26,pkt,56.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN58,DETOL PER TIN ,26,pkt,417.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN59,DHANIA PER BUNCH ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN60,DIET COKE PER CRATE ,26,pkt,"1,280.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN61,DOLA PKT ,26,pkt,101.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN62,DOOM PER TIN ,26,pkt,414.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN63,DOUBLE CREAM PER TIN ,26,pkt,174.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN64,EGGS PER TRAY ,26,pkt,300.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN65,ELASTO PLAST PER PIECE ,26,pkt,126.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN66,ELIANTO OIL PER LTR ,26,pkt,260.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN67,ETR ROLL PER ROLL ,26,pkt,114.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN68,EXE BROWN PER PKT ,26,pkt,140.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN69,EXE WHITE PER PKT ,26,pkt,136.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN70,FAY CLING PER PC ,26,pkt,600.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN71,FIRE JELLY BUCKET 16KGS ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN72,FIRE JELLY PER TIN ,26,pkt,95.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN73,FISH FILLETS PER KG ,26,pkt,650.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN74,FRENCH BEANS PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN75,FRESH MAIZE PER PC ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN76,FRESH PEPPER ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN77,FRESH PEPPER PER KH ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN78,FRESHNER PER BTL ,26,pkt,238.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN79,GARAM MASALA TIN ,26,pkt,105.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN80,GARBAGE BAGS ,26,pkt,240.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN81,GARDEN PEAS PER KG ,26,pkt,350.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN82,GARLIC PER PC ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN83,GARLIC POWDER TIN ,26,pkt,84.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN84,GAS CYLINDER 50KG ,26,pkt,"9,250.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN85,GAS PER CYLINDER (13KGS) ,26,pkt,"2,000.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN86,GAS PER KG ,26,pkt,"1,945.00 ",0 ,2,No Tax,exclusive,,,,,,,,
GEN87,GINGER PER PC ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN88,GIZZARD PER KG ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN89,GLASS CLEANER PER TIN ,26,pkt,180.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN90,GLOVES PER PAIR ,26,pkt,158.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN91,GOGGETS PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN92,GRAPES PER BUNCH ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN93,GRAVY BROWNING PER BTL ,26,pkt,95.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN94,GREEN MAIZE ,26,pkt,15.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN95,GRENADINE SYRUP ,26,pkt,334.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN96,GRENADINE SYRUP PER BTL ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN97,GRENADINE SYRUP PER TIN ,26,pkt,334.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN98,HAIR NETS ,26,pkt,30.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN99,HOHO PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN100,HONEY TIN ,26,pkt,335.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN101,HOSTESS ,26,pkt,181.33 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN102,ICING SUGAR PER PKT/TIN ,26,pkt,95.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN103,IMPERIAL SOAP PER PC ,26,pkt,478.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN104,JASMINE SYRUP PER BTL ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN105,JIK PER BTL ,26,pkt,447.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN106,JUICE PER PKT ,26,pkt,190.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN107,KUNDE PER BUNCH ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN108,LAMB CHOPS PER KG ,26,pkt,650.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN109,LEEKS ,26,pkt,80.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN110,LEMONS PER KG ,26,pkt,100.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN111,LETTUCE PE PC ,26,pkt,40.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN112,LIME JUICE PER TIN ,26,pkt,129.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN113,LIVER PER KG ,26,pkt,440.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN114,LUX SOAP PER PC ,26,pkt,220.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN115,MABAKI PER BUNCH ,26,pkt,10.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN116,MANAGU PER BUNCH ,26,pkt,200.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN117,MANGOES PER PC ,26,pkt,20.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN118,MATCHBOX PER PC ,26,pkt,232.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN119,MAYONAISE PER TN ,26,pkt,208.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN120,MEAT TENDERISER PER TIN ,26,pkt,54.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN121,MELON PER KG ,26,pkt,50.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN122,MELONPER PC ,26,pkt,55.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN123,MILK PER LTR ,26,pkt,75.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN124,MILO PER PKT ,26,pkt,370.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN125,MINCED MEAT PER KG ,26,pkt,440.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN126,MOPPERS PER PC ,26,pkt,334.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN127,MOPPING BUCKET PER PC ,26,pkt,240.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN128,MUESLI PER PKT ,26,pkt,375.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN129,MUSHROOM PER PKT ,26,pkt,356.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN130,MUTTON PER KG ,26,pkt,350.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN131,NESCAFE PER DOZEN ,26,pkt,157.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN132,NJAHI PER KG ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN133,OAT MEAL PER PKT ,26,pkt,0.00 ,0 ,2,No Tax,exclusive,,,,,,,,
GEN134,OMO PER KG ,26,pkt,800.00 ,0 ,2,No Tax,exclusive,,,,,,,,
