Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
AS64,MATTRESS COVER ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS65,MIXED COLOURED CURTAINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS66,MIXED COLOURED TABLE COVER ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS67,MOSQUITO NETS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS68,NEW BLUE DOOR MATTS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS69,NON DECORATED ORANGE TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS70,OFFICE DESKS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS71,ORANGE SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS72,ORANGE TABLE COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS73,ORANGE TOILET SEAT COVER ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS74,ORGANO CAFFE MOCHA ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS75,PICTURE WALL HANGING ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS76,PILLOW CASES ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS77,PILLOWS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS78,PINK CHECKED TABLE TOPS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS79,PINK CURTAINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS80,PINK MAASAI COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS81,PINK PLAIN SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS82,PINK SKIRTINGS WITH GATHERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS83,PLAIN GOLDEN SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS84,PLASTIC CHAIRS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS85,PROJECTION SCREEN ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS86,PURPLE SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS87,RED RIBBONS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS88,RED SKIRTINGS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS89,ROUND MOSQUITO NETS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS90,ROUND RESTAURANT TABLES ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS91,SHORT RECTANGLE TABLES ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS92,SHORT RESTAURANT TABLE COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS93,SHORT TABLE COVERS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
AS94,SHOWER CURTAINS ,24,pcs,0,0,2,No Tax,exclusive,,,,,,,,
