Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161104340158,ZOE LOTION 200 ML,22,PC,91,109,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340189,ZOE LOTION 100 ML,22,PC,58,69,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340493,ZOE LOTION 600 ML,22,PC,194,229,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104340059,COCOA BUTTER 200ML,22,PC,92,109,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104348970,ZOE NATURAL HONEY 600ML,22,PC,193,224,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104348994,ZOE NATURAL HONEY 200ML,22,PC,92,107,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104342497,ZOE ALOVERA 200ML,22,PC,92,109,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
6161104342480,ZOE ALOVERA 200ML,22,PC,58,69,,EXCEPT,INCLUSIVE,BREAD,,,,,,,
