Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2 ,Custom Field 3 ,Custom Field 4 ,Custom Field 5,Custom Field 6
249,jack daniel honey 1L,A,Bottles,6500,6500,2, No Tax, exclusive,WS,,,,,,,
250,glenfiddich 18yrs 750,A,Bottles,12000,12000,2, No Tax, exclusive,WS,,,,,,,
251,chivas 750 ml,A,Bottles,5000,5000,2, No Tax, exclusive,WS,,,,,,,
253,jack daniel 700ml,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
254,casabuena,A,Bottles,1000,1000,2, No Tax, exclusive,WI,,,,,,,
255,soda 1.25 litre,N,Bottles,250,250,2, No Tax, exclusive,SO,,,,,,,
257,JW double black 1litre,A,Bottles,10000,10000,2, No Tax, exclusive,WI,,,,,,,
258,DAISY,A,Bottles,80,80,2, No Tax, exclusive,BR,,,,,,,
259,VAT 69 750ML,A,Bottles,2000,2000,2, No Tax, exclusive,WI,,,,,,,
260,JAGERMISTER 1ltr Mzinga,A,Bottles,7000,7000,2, No Tax, exclusive,WS,,,,,,,
261,GLENFIDDICH 750ML 15YRS,A,Bottles,10500,10500,2, No Tax, exclusive,WS,,,,,,,
262,HUNTERS DRY REAL CIDER,A,Bottles,250,250,2, No Tax, exclusive,WS,,,,,,,
263,DROSTDY HOF red,A,Bottles,1500,1500,2, No Tax, exclusive,WI,,,,,,,
265,HENNESEY VSOP 750ML,A,Bottles,11500,11500,2, No Tax, exclusive,CO,,,,,,,
266,HENNESEY VSOP 1LTR,A,Bottles,14000,14000,2, No Tax, exclusive,CO,,,,,,,
267,MARTEL VSOP 1L,A,Bottles,13000,13000,2, No Tax, exclusive,CO,,,,,,,
268,SCOTISH LEADER,A,Bottles,5000,5000,2, No Tax, exclusive,WS,,,,,,,
269,VICEROY 10YRS,A,Bottles,5000,5000,2, No Tax, exclusive,BR,,,,,,,
270,WILLIAM LAWSON 1.5L,A,Bottles,4000,4000,2, No Tax, exclusive,WS,,,,,,,
272,JACK DANIEL HONEY 750ML,A,Bottles,4500,4500,2, No Tax, exclusive,WS,,,,,,,
273,CAMINO,A,Bottles,0,0,2, No Tax, exclusive,TE,,,,,,,
274,BEEFEATER 1L,A,Bottles,4200,4200,2, No Tax, exclusive,GI,,,,,,,
275,POWER PLAY,N,Bottles,150,150,2, No Tax, exclusive,EN,,,,,,,
276,PREDATOR ENERGY,N,Bottles,150,150,2, No Tax, exclusive,EN,,,,,,,
277,SCHWEPPERS  TONIC,N,Bottles,150,150,2, No Tax, exclusive,TO,,,,,,,
278,KISS CHOCOLATE DOTTED,O,Packets,150,150,2, No Tax, exclusive,CD,,,,,,,
279,TRUST STUDDED,O,Packets,200,200,2, No Tax, exclusive,CD,,,,,,,
